c1.medium,650,2,1.7
c1.xlarge,1000,8,7
c3.2xlarge,1000,8,15
c3.4xlarge,1000,16,30
c3.8xlarge,10000,32,60
c3.large,650,2,3.75
c3.xlarge,650,4,7.5
cc2.8xlarge,10000,32,60.5
cg1.4xlarge,10000,16,22.5
cr1.8xlarge,10000,32,244
g2.2xlarge,1000,8,15
hi1.4xlarge,10000,16,60.5
hs1.8xlarge,10000,16,117
i2.2xlarge,1000,8,61
i2.4xlarge,1000,16,122
i2.8xlarge,10000,32,244
i2.xlarge,650,4,30.5
m1.large,650,2,7.5
m1.medium,650,1,3.75
m1.small,300,1,1.7
m1.xlarge,1000,4,15
m2.2xlarge,650,4,34.2
m2.4xlarge,1000,8,68.4
m2.xlarge,650,2,17.1
m3.2xlarge,1000,8,30
m3.large,650,2,7.5
m3.medium,650,1,3.75
m3.xlarge,1000,4,15
r3.2xlarge,1000,8,61
r3.4xlarge,1000,16,122
r3.8xlarge,10000,32,244
r3.large,650,2,15.25
r3.xlarge,650,4,30.5
t1.micro,100,1,0.613
t2.medium,300,2,4
t2.micro,300,1,1
t2.small,300,1,2
