('Montage_25', {u'MOHEFT': 0.052197933197021484, u'ESC/P': 0.8655819892883301, u'SPEA2*': 0.8700871467590332, u'ESC/F': 0.9027061462402344, u'MOABC': 0.2953832149505615})
('Montage_50', {u'MOHEFT': 0.10248589515686035, u'ESC/P': 1.6841681003570557, u'SPEA2*': 2.025848150253296, u'ESC/F': 1.8629560470581055, u'MOABC': 0.7859289646148682})
('Montage_100', {u'MOHEFT': 0.7501471042633057, u'ESC/P': 3.401766061782837, u'SPEA2*': 5.153507947921753, u'ESC/F': 3.963960886001587, u'MOABC': 2.511794090270996})
('Epigenomics_24', {u'MOHEFT': 0.03222799301147461, u'ESC/P': 0.7121691703796387, u'SPEA2*': 0.7380709648132324, u'ESC/F': 0.7058160305023193, u'MOABC': 0.2574038505554199})
('Epigenomics_46', {u'MOHEFT': 0.11308097839355469, u'ESC/P': 1.3154590129852295, u'SPEA2*': 1.5918538570404053, u'ESC/F': 1.252897024154663, u'MOABC': 0.6491639614105225})
('Epigenomics_100', {u'MOHEFT': 0.26415205001831055, u'ESC/P': 3.038533926010132, u'SPEA2*': 4.281359910964966, u'ESC/F': 2.9926440715789795, u'MOABC': 2.039578914642334})
('CyberShake_30', {u'MOHEFT': 0.06583404541015625, u'ESC/P': 0.9960970878601074, u'SPEA2*': 0.9234011173248291, u'ESC/F': 1.0282130241394043, u'MOABC': 0.35309600830078125})
('CyberShake_50', {u'MOHEFT': 0.09357309341430664, u'ESC/P': 1.6053180694580078, u'SPEA2*': 1.7805709838867188, u'ESC/F': 1.965528964996338, u'MOABC': 0.7299261093139648})
('CyberShake_100', {u'MOHEFT': 0.36738014221191406, u'ESC/P': 3.3299849033355713, u'SPEA2*': 4.186017990112305, u'ESC/F': 3.4054839611053467, u'MOABC': 2.1959729194641113})
('Sipht_30', {u'MOHEFT': 0.03748202323913574, u'ESC/P': 0.8675060272216797, u'SPEA2*': 0.8005590438842773, u'ESC/F': 0.9037349224090576, u'MOABC': 0.311553955078125})
('Sipht_60', {u'MOHEFT': 0.06890106201171875, u'ESC/P': 1.6744279861450195, u'SPEA2*': 1.8678760528564453, u'ESC/F': 1.6952440738677979, u'MOABC': 0.8423449993133545})
('Sipht_100', {u'MOHEFT': 0.2364668846130371, u'ESC/P': 2.8701350688934326, u'SPEA2*': 3.6888551712036133, u'ESC/F': 2.955482006072998, u'MOABC': 1.9110829830169678})
('Inspiral_30', {u'MOHEFT': 0.035752058029174805, u'ESC/P': 0.852025032043457, u'SPEA2*': 0.956186056137085, u'ESC/F': 0.9010469913482666, u'MOABC': 0.35169100761413574})
('Inspiral_50', {u'MOHEFT': 0.1555330753326416, u'ESC/P': 1.51065993309021, u'SPEA2*': 1.6855800151824951, u'ESC/F': 1.3921098709106445, u'MOABC': 0.6998069286346436})
('Inspiral_100', {u'MOHEFT': 0.21778011322021484, u'ESC/P': 2.917484998703003, u'SPEA2*': 4.088036060333252, u'ESC/F': 3.251865863800049, u'MOABC': 2.4640398025512695})
